"Month","Year","Region","amphipod","mysid","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaladjuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino"
9,2011,"Lower",0,791.042424776848,0,47.18,0,3.3,1.443,0,585.675,191.23,31.416,1.278,2350.11,3150.1375,2064.9255
9,2011,"Middle",0,1291.4399884702,0,27.775,0,0,0.299,9.8,1217.25,1680.8,0,3.964,1698.011,1778.7625,1670.0475
9,2011,"Top",0,2.07078152403171,0,8.89,0,0,0.39,106.8,1959.6,3157.18,69.552,3,299.516,1301.34,949.685
9,2012,"Lower",0,745.228878692368,0,8.50306027282691,0,0,0.347321636320189,2.16,118.211669237806,73.1429498728761,25.3626077484136,1.44993247824891,1443.5718374087,1279.536,266.698801889666
9,2012,"Middle",0,804.049954545263,0,5.53546697135148,0,0,1.29025,465.7,1023.22845719859,726.841135964233,9.156,12.0804298541049,3998.23756622474,1743.77375,1223.07695238372
9,2012,"Top",0,2796.12508777196,0,4.40150583084516,0.377957630718279,0,0.403,458.12470277201,644.30044030715,623.405214844749,88.872,0.126146617507663,349.55867291559,1410.50375,627.737008050349
9,2013,"Lower",0.636530343995662,132.570618017598,0,21.7652246821867,0,0,2.1788,0.0669092810378412,246.886246700158,298.32045092184,0.0164623782909687,4.12458794208182,2856.2965872938,4363.353,499.929559078127
9,2013,"Middle",0.0359246681146683,402.377012130431,0,19.5938028327545,0,0,8.62225,173.632665278402,1251.13045664088,788.851690345919,0,3.325,2534.20271803819,3509.19625,1410.9667929374
9,2013,"Top",0,7.20489998303862,0,4.21650658700036,31.3327454449941,0,0.9425,110.152208617482,547.639626447902,199.744787246814,0.180595106902127,0.977820898276551,121.311194621673,604.69875,223.933675754743
9,2014,"Lower",1.07499554790976,491.998567174331,0,20.225,0,0,0,0,483.975,552.46,37.8,15.74,9417.065,12491.645,1481.986
9,2014,"Middle",0.411259994380003,1919.76765780406,0,60.59,0,0,3.835,399.6,2910.75,2972.5,34.44,1.12,2787.414,4524.3875,3424.8335
9,2014,"Top",0.116244717523479,128.522024601173,0,81.13,27.6,0,4.511,2635.2,3599.1,4812.7,186.48,0,8411.452,20694.94,1844.469
9,2015,"Lower",1.16597346215001,54.2557581068715,0,17.065,15.2,0,2.4115,18.6,309.675,813.78,35.784,11.22,12524.078,7647.73,885.4065
9,2015,"Middle",1.49076409748064,338.499883673527,0,16.955,0,0,2.067,699,2463,4242.1,9.744,1.798,8441.643,7556.4775,4191.7425
9,2015,"Top",1.8197986937799,11.9837893728443,0,14.5,0,0,2.353,6528,2951.4,9404.18,0,0,24913.826,11334.055,2257.079
9,2016,"Lower",0.00840491278303307,932.15743610679,0,155.286403152963,0.166020646278374,0,24.1656614398694,2.72,540.721201331174,234.199971308475,11.6928,77.8939010323139,1871.30739712348,5113.015,267.346204446777
9,2016,"Middle",0,896.205867811758,0,7.43113413379604,0,0,6.93209801443482,328.408157934498,840.370773574564,808.908595419103,3.27828422165955,4.46583088026788,2016.00160207891,2159.47,607.109894957948
9,2017,"Lower",0.132815779499363,3267.38762581902,1.4952,3.44110364913086,0.0293530731389001,0,1.6094,6.4,232.330662660879,304.514610133945,18.9504,4.82199225671744,12495.3328355167,3368.534,914.903
9,2017,"Middle",0,1343.14153298587,0.5607,38.0074413964212,58.279305428,0,23.59623260111,38.59132269149,240.976165885764,425.991584536924,14.2552632516,4.70086610183897,1483.35779112015,1084.6213763764,620.214751699956
9,2017,"Top",0,2.98308458584565,0,5.89599621673692,0.885227274101485,0,1.83625,374.604585858903,492.103620192531,605.97667327177,0,1.00213841002715,471.632008064781,1783.1325,485.990699652947
9,2018,"Lower",0,17.4329831623438,3.92871428571429,4.07820899857547,17.77028432567,28.3023820542857,0.689362804157018,1.21116320483133,76.3064219345989,93.9123713825362,12.4921214352,4.42658766134081,1383.77020863492,1589.70720300714,56.0698502104117
9,2018,"Middle",0.115139629144441,377.112760210064,0,19.4795469923315,0.151664032851855,0,7.82528770901394,340.4,1028.89862198987,873.945790213775,1.72569376704,9.81564438915677,6005.63024321559,3734.86897512857,2224.11172683711
9,2018,"Top",0,0.591746284809046,0,6.18427819421326,0.478353108109136,0,0.818636401597206,688.014064378468,512.790612052196,950.449220504751,3.32053782245649,10.7580456763469,294.856506214741,1600.890899427,340.003277092793
9,2019,"Lower",1.59132585998915,6476.8135577837,1.98690281285625,11.0233117171375,383.941560342,1.1162375355,0.83692171641,3.0480270785,67.6975647560625,84.251430531375,20.61068477076,3.99758990566,3828.09855020793,2996.68525574187,167.413334219643
9,2019,"Middle",0,2117.81717240477,3.07629918960375,22.2387585427375,0,0,1.11127545147125,139.226769318,1493.89957605225,2340.1865777677,57.5337004914,10.5529220853,5871.78287457139,5220.68111883881,3214.91753946444
9,2019,"Top",5.70856552707564,520.321476010631,0,24.2045302447308,484.238665802154,1.11348304684615,1.80362166399,160.945481096,1244.24361700454,3353.00977599392,55.5209520240738,35.7340666868477,2109.72849594274,5311.75278609461,1137.56765180325
10,2011,"Lower",0,716.899939539339,0,31.345,0,0,9.88,5.2,528.825,122.68,30.912,25.635,4080.839,1242.8625,3122.3665
10,2011,"Middle",0,491.445879826495,0,7.485,0,0,0.182,27.8,1084.875,842.74,37.464,4.71,3333.379,1864.84,2675.145
10,2011,"Top",0,12.0049137309664,0,1.03,20.8,69.9,0,10.4,1082.7,1052.92,52.08,32.98,41.23,383.755,1676.356
10,2012,"Lower",0,5443.76204432592,0,42.4857947627591,0,0,143.917859794453,27.7600919914663,49.9070290933029,75.288,43.7472,17.676802759744,11039.8141871892,909.236,1526.7010180269
10,2012,"Middle",0,8367.11391265727,0,13.4943479689932,0,0,3.26846413267212,346.308762954852,760.433064091185,373.29361060944,27.552,5.90161870130121,2757.85682662635,2349.0475,1360.22808685753
