"","Region","TowType","Month","Year","MonthYear","IBMR","BPUE","CPUE"
"1","Lower","Bottom",6,2019,2018.58333333333,"acartela",0,0
"2","Lower","Bottom",6,2019,2018.58333333333,"allcopnaup",15.41113880955,154.1113880955
"3","Lower","Bottom",6,2019,2018.58333333333,"daphnia",205.34921852,51.33730463
"4","Lower","Bottom",6,2019,2018.58333333333,"eurytem",15.991567593,5.330522531
"5","Lower","Bottom",6,2019,2018.58333333333,"limno",0.120627112515,0.9279008655
"6","Lower","Bottom",6,2019,2018.58333333333,"othcalad",37.465036227,9.7331441955
"7","Lower","Bottom",6,2019,2018.58333333333,"othcaladjuv",114.398796432,76.2658642880001
"8","Lower","Bottom",6,2019,2018.58333333333,"othclad",165.7628842405,228.0337152505
"9","Lower","Bottom",6,2019,2018.58333333333,"othcyc",357.3917187288,106.366582955
"10","Lower","Bottom",6,2019,2018.58333333333,"other",9.12860804318,36.4712609975
"11","Lower","Bottom",6,2019,2018.58333333333,"pdiapfor",6129.123427868,2304.1817398
"12","Lower","Bottom",6,2019,2018.58333333333,"pdiapjuv",1983.0226204,1724.367496
"13","Lower","Bottom",6,2019,2018.58333333333,"sino",347.18090726275,101.812582775
"14","Lower","Bottom",6,2020,2019.58333333333,"acartela",4.368445816095,1.6361220285
"15","Lower","Bottom",6,2020,2019.58333333333,"allcopnaup",15.52984019035,155.2984019035
"16","Lower","Bottom",6,2020,2019.58333333333,"daphnia",10.752596256,2.688149064
"17","Lower","Bottom",6,2020,2019.58333333333,"eurytem",32.1786111545,10.7262037181667
"18","Lower","Bottom",6,2020,2019.58333333333,"limno",0.278604386818333,2.14311066783333
"19","Lower","Bottom",6,2020,2019.58333333333,"othcalad",8.178433534,2.0446083835
"20","Lower","Bottom",6,2020,2019.58333333333,"othcaladjuv",609.49227432225,406.3281828815
"21","Lower","Bottom",6,2020,2019.58333333333,"othclad",44.1176392918,50.122187347
"22","Lower","Bottom",6,2020,2019.58333333333,"othcyc",40.12589882,11.9422317916667
"23","Lower","Bottom",6,2020,2019.58333333333,"other",5.97767274004667,11.3553294855
"24","Lower","Bottom",6,2020,2019.58333333333,"pdiapfor",6322.87773441333,2377.02170466667
"25","Lower","Bottom",6,2020,2019.58333333333,"pdiapjuv",3504.311803825,3047.2276555
"26","Lower","Bottom",6,2020,2019.58333333333,"sino",2929.87102298953,859.199713486667
"27","Lower","Bottom",6,2021,2020.58333333333,"acartela",18.707092443948,7.0064016644
"28","Lower","Bottom",6,2021,2020.58333333333,"allcopnaup",55.8091874568,558.091874568
"29","Lower","Bottom",6,2021,2020.58333333333,"daphnia",31.317270076,7.829317519
"30","Lower","Bottom",6,2021,2020.58333333333,"eurytem",10.862527209,3.620842403
"31","Lower","Bottom",6,2021,2020.58333333333,"limno",0.564848764584,4.3449904968
"32","Lower","Bottom",6,2021,2020.58333333333,"othcalad",0,0
"33","Lower","Bottom",6,2021,2020.58333333333,"othcaladjuv",189.3332685183,126.2221790122
"34","Lower","Bottom",6,2021,2020.58333333333,"othclad",20.09519059888,22.6240113412
"35","Lower","Bottom",6,2021,2020.58333333333,"othcyc",53.523464549856,15.9296025446
"36","Lower","Bottom",6,2021,2020.58333333333,"other",8.111772959664,10.750547502
"37","Lower","Bottom",6,2021,2020.58333333333,"pdiapfor",7502.1315571636,2820.35020946
"38","Lower","Bottom",6,2021,2020.58333333333,"pdiapjuv",8195.28115117,7126.3314358
"39","Lower","Bottom",6,2021,2020.58333333333,"sino",2591.35877873671,759.9292606266
"40","Lower","Bottom",6,2022,2021.58333333333,"acartela",2.14023882139333,0.801587573555556
"41","Lower","Bottom",6,2022,2021.58333333333,"allcopnaup",23.5123348273889,235.123348273889
"42","Lower","Bottom",6,2022,2021.58333333333,"daphnia",1.734378364,0.433594591
"43","Lower","Bottom",6,2022,2021.58333333333,"eurytem",19.8265259653333,6.60884198844444
"44","Lower","Bottom",6,2022,2021.58333333333,"limno",1.20743004942444,9.28792345711111
"45","Lower","Bottom",6,2022,2021.58333333333,"othcalad",4.77546905333333,1.52829455333333
"46","Lower","Bottom",6,2022,2021.58333333333,"othcaladjuv",549.767949783833,366.511966522556
"47","Lower","Bottom",6,2022,2021.58333333333,"othclad",63.7812710603556,65.8371149893333
"48","Lower","Bottom",6,2022,2021.58333333333,"othcyc",48.9463227896533,14.5673579731111
"49","Lower","Bottom",6,2022,2021.58333333333,"other",3.93432732563111,10.1730474787778
"50","Lower","Bottom",6,2022,2021.58333333333,"pdiapfor",4347.24792980956,1634.30373301111
"51","Lower","Bottom",6,2022,2021.58333333333,"pdiapjuv",2817.88688402222,2450.33642088889
"52","Lower","Bottom",6,2022,2021.58333333333,"sino",4751.77986394112,1393.48383106778
"53","Lower","Bottom",7,2019,2018.5,"acartela",0,0
